Agent_name,word,frequency
Lance Case,item,2
Cindy Stewart,shipments,2
William Little MD,plan,2
Jennifer Day,don,2
Peter Lawrence,commerce,2
Misty Castillo,item,2
Shari Martinez,thanks,2
Sharon Bullock,thanks,2
Lawrence Phillips,shirt,2
John Miller,don,2
Cole Carlson,box,2
Joseph Brown,don,2
Rhonda Martin DVM,item,2
Dawn Porter,box,2
Brandy Shea,comment,2
John Miller,box,2
James Williams,shit,2
Daniel Woods,refund,2
Michele Roberts,pockets,2
Darren Watson,brother,2
Lindsay Ward,time,2
Timothy Butler,kind,2
Bruce Smith,today,2
Jesse Blevins,single,2
Theresa Moore,kind,2
Lisa Osborne,time,2
Dominique Roberts,issues,2
Carla Burke,case,2
Timothy Huber,called,2
Brian Wall,regards,2
Katrina Mendoza,calls,2
Kristen Olson,time,2
Alan Cruz,remove,2
Daniel Davis,guy,2
Kimberly Medina,time,2
Victoria Collins,kind,2
Mary Ross,time,2
Ryan Thompson,policy,2
Christian Armstrong,kindly,2
Anthony Hancock,today,2
Matthew Lambert,time,2
Matthew Miller,time,2
Sean Olson,educated,2
Dawn Porter,kindly,2
Melissa Nelson,time,2
David Warren,remember,2
Michael Gomez,time,2
Michelle Moore,time,2
Michael Ruiz,kindly,2
Rachel Parker,size,2
Mrs. Kimberly Daniels,time,2
Samantha Harmon,kindly,2
Timothy Scott,regarding,2
Paul Roach,policy,2
Kevin Ramos,time,2
Kim Barnes,policy,2
Kathy Strong,regarding,2
Jake Chapman,time,2
James Chung,time,2
Dalton Oneal,ki,2
Jennifer Day,policy,2
Jennifer Cox,time,2
Jennifer Day,time,2
Michael Ruiz,easy,2
Shannon Hudson,polite,2
Jessica Powell,time,2
Misty Castillo,easy,2
Julie Williams,skills,2
Daniel Henderson,calling,2
Jonathan Wright,time,2
Ryan Thompson,easy,2
Kenneth Wilson,time,2
Robert Smith,today,2
Ryan Jackson,polite,2
Karen Bullock,time,2
Nathan Nguyen,today,2
Tina Garza,knowledge,2
Kathryn Vasquez,time,2
Teresa Gilbert,case,2
Katrina Mendoza,time,2
