Topic,Words,Frequency,Class
0,"daysbetter, pre, forget, paid, regular",3,Michael Miller
22,"guy, humble, helping, resolve, problem",1,Jonathan King
0,"cancelled, seller, order, shopzilla, product",1,Donna Miller
5,"care, executive, good, customer, helpful",1,Donna Miller
0,"supervisor, customersyou, chandar, loed, parkash",4,Melissa Nelson
2,"disconnected, resolving, times, issue, executive",1,Melissa Nelson
3,"delevery, recipient, excuse, agent, self",1,Melissa Nelson
0,"returnexchange, fees, valuable, shop, websitesapps",3,Cathy Harris
1,"timely, resolving, thanks, executive, problem",2,Cathy Harris
4,"care, good, service, customer, experience",1,Edwin Wilson
11,"totally, satisfied, service, happy, customer",1,Edwin Wilson
0,"organisation, todays, helps, life, like",1,Melissa Mcclain MD
8,"easlier, steps, reaching, make, easy",1,Daniel Duncan
-1,"sweet, supportive, executive, customer, talk",1,Jesse Shaffer
1,"attractive, behaviour, executive, helpful, polite",1,Jesse Shaffer
6,"support, service, good, customer, care",1,Jesse Shaffer
46,"staff, supportive, supporting, assisted, mevery",1,Jesse Shaffer
-1,"pronounce, spell, confused, qualified, helpless",2,Samuel Ramos
0,"placed, seller, cancel, order, action",1,Samuel Ramos
6,"support, nice, care, customer, supportive",1,Samuel Ramos
22,"excellenthe, briefly, 5stars, explain, simple",1,Samuel Ramos
23,"badtameez, overall, unknowledge, mentally, misguided",1,Samuel Ramos
33,"seen, worst, service, customer, script",1,Samuel Ramos
-1,"goodvery, explain, needed, words, missing",2,Thomas White
30,"addressed, help, people, query, know",1,Thomas White
-1,"patient, extremely, manner, asked, concern",2,David Taylor
0,"resolved, thanks, problem, shopzilla, care",1,David Taylor
1,"exp, feel, talk, nice, executive",1,David Taylor
2,"noise, background, canceled, service, customer",1,David Taylor
4,"custom, itu2019s, taking, representative, care",1,David Taylor
14,"nicei, muchand, experienced, way, understanding",1,David Taylor
15,"tank, suggestion, support, executive, good",1,David Taylor
50,"job, im, excellent, happy, talk",1,David Taylor
0,"brands, pointing, turn, fk, allow",1,Steven Buckley
20,"delevery, superbuy, service, bad, good",1,Steven Buckley
0,"emails, representatives, expectent, itll, issuse",2,Kathy Strong
43,"waited, liked, spoke, conversation, helping",1,Kathy Strong
6,"support, care, good, customer, supportive",1,Amy Watson
41,"support, executive, good, great, executiveproblem",1,Amy Watson
0,"sayand, productsso, saler, productscoz, quality",1,Haley Chambers DDS
2,"abruptly, disconnected, solution, executives, senior",1,Haley Chambers DDS
8,"difficult, connect, number, provide, care",1,Haley Chambers DDS
-1,"team, best, talking, support, talk",1,Laura Farmer
0,"know, hi, related, problems, awesome",1,Laura Farmer
1,"does, knowledge, product, executive, helpful",1,Laura Farmer
3,"professionally, addressed, query, agent, good",1,Laura Farmer
6,"beautiful, support, service, customer, care",1,Laura Farmer
10,"bad, care, customer, poor, service",1,Laura Farmer
1,"rude, did, query, resolved, executive",1,Jacob Schroeder
10,"care, good, customer, bad, poor",1,Jacob Schroeder
0,"lenovo, loq, improvement, timeline, dissatisfied",1,Julie Mahoney
-1,"talkative, way, like, good, talk",1,Monique Graham
0,"blackmail, masters, whish, blackmailers, desicions",2,Monique Graham
14,"comfortable, conversation, im, way, like",1,Daniel Silva
30,"surabhi, link, insta, miss, solving",1,Daniel Silva
-1,"employe, iam, happy, nice, person",1,Rebecca Walker
0,"superbuy, delivering, completely, ordered, ate",3,Rebecca Walker
25,"service, good, customer, hole, job",1,Rebecca Walker
27,"talking, nice, costomer, easily, supporting",1,Rebecca Walker
-1,"consultant, improve, need, talking, talk",1,Erika Black
0,"necessary, happened, product, plz, possible",1,Erika Black
-1,"enabled, partially, jas, blockedso, servicesregardskhameshwar",1,Rebecca James
0,"massage, till, youre, received, center",1,Rebecca James
13,"excellent, mr, service, awesome, customer",1,Rebecca James
43,"talking, nice, support, executive, customer",1,Rebecca James
49,"response, care, good, customer, feedback",1,Rebecca James
0,"jack, responsebut, wriless, sents, phones",4,Daniel Woods
1,"sitting, calm, centre, efforts, regarding",1,Daniel Woods
-1,"solvedthis, answering, questions, left, chat",2,John Bailey
0,"deducted, sad, confirmed, payment, showing",1,John Bailey
43,"talk, executive, good, customer, conversation",1,John Torres
-1,"mr, great, way, talking, talk",1,Carla Burke
0,"executives, days, continued, srcustomer, uselessplease",3,Carla Burke
0,"waiting, eagerly, cats, 8aug, prove",1,Michael Silva
3,"way, agent, thank, talking, support",1,Julie Salinas
46,"staff, supportive, supporting, assisted, mevery",1,Trevor Turner
32,"nice, person, helpful, thank, ",1,Toni Rodriguez
0,"manufacturer, cheap, unprofessional, seller, product",1,Susan Francis
56,"services, nice, care, brother, customer",2,Susan Francis
0,"verify, local, selling, plz, properly",2,Nicole Patel
45,"important, best, service, customer, bast",1,Nicole Patel
0,"wastes, expect, everyones, upload, image",1,John Carrillo
2,"disconnected, senior, executive, hold, cut",1,Debbie Gomez
3,"agent, nice, agents, knowledgeable, resolution",1,Debbie Gomez
14,"speaking, love, problems, awesome, way",1,Debbie Gomez
17,"sport, thanks, care, thank, customer",1,Debbie Gomez
0,"minimum, post, policies, delivery, knowledge",1,Jamie Knapp
-1,"mple, super, consultant, nd, process",3,Kenneth Murphy
0,"mess, bastards, looting, sales, ing",1,Kenneth Murphy
1,"skillspolite, definitely, senior, communication, excellent",1,Kenneth Murphy
4,"ver, family, loyal, supporting, care",1,Kenneth Murphy
0,"pair, curtain, single, curtains, fraud",1,Jesse Blevins
0,"robotic, sounded, loved, human, absolutely",1,Morgan Smith
-1,"unavailable, maximum, right, times, agent",1,Susan Wolf
26,"talk, nice, love, resolutionthank, aarjavplease",1,Susan Wolf
33,"worst, product, service, customer, seen",1,Susan Wolf
0,"sensible, automatically, effort, receive, boy",1,Julie Hart
3,"agent, nice, agents, knowledgeable, resolution",1,Julie Hart
0,"irritated, nicebut, aap, slow, application",1,Amanda Morse
11,"satisfied, service, care, happy, customer",1,Amanda Morse
3,"agent, nice, person, agents, knowledgeable",1,Lauren Martin
32,"nice, person, helpful, thank, ",1,Lauren Martin
0,"todayamd, communicating, today, train, state",1,Alisha Goodwin
2,"min, unmaner, foe, 25, unprofessional",1,Alisha Goodwin
0,"messy, later, pay, problems, proper",1,Taylor Harvey
-1,"prblm, fixshe, politei, explainingi, fixeble",1,Nathaniel Smith
0,"responding, waste, properly, response, agent",1,Nathaniel Smith
13,"awesome, work, great, service, excellent",2,Nathaniel Smith
39,"mii, peoples, happy, supporting, support",2,Nathaniel Smith
-1,"politely, talk, good, talking, customer",1,Anna Miller
0,"communicationwish, executiveit, agentmaam, answered, shes",1,Anna Miller
3,"helpfulhope, improved, agent, quickly, right",1,Anna Miller
35,"eager, best, way, help, talk",1,Anna Miller
-1,"officials, audiblemy, audio, govt, forum",1,Thomas Hayes
