Topic,Words,Frequency,Class
1,"good, executive, helpful, polite, nice",1,Timothy Huff
4,"excecutive, reason, giving, cancelled, improve",1,Timothy Huff
16,"talk, nice, care, customer, talking",1,Timothy Huff
18,"person, good, excellent, attend, best",1,Timothy Huff
30,"understands, mr, long, problems, concern",1,Timothy Huff
36,"talk, nice, comfortable, deal, feel",1,Timothy Huff
45,"best, fast, talked, service, person",2,Timothy Huff
47,"talk, nice, nicely, good, ",1,Timothy Huff
52,"excellent, care, service, customer, pethetic",1,Timothy Huff
0,"ans, packet, missing, poor, shopzilla",1,Morgan Floyd
24,"50, pending, solution, days, executive",1,Morgan Floyd
26,"excellent, talk, nice, love, resolutionthank",1,Morgan Floyd
29,"nice, person, thanx, lovely, happing",1,Morgan Floyd
50,"happy, talk, mam, talking, breath",1,John Buchanan
-1,"excutive, way, polite, talk, customer",1,Colleen Morton
17,"thank, care, customer, thanks, thanku",1,Colleen Morton
35,"talking, nice, pleasure, talk, nexxt",1,Colleen Morton
-1,"natures, experience, like, talking, good",1,Andrea Rasmussen
0,"correct, coffee, continental, speciale, insisted",1,Andrea Rasmussen
0,"cause, start, faced, free, center",1,Yesenia Bowers
-1,"nice, talk, person, talking, customer",1,Wendy Anderson
0,"added, selling, bad, seller, product",1,Wendy Anderson
0,"concentration, ismy, helpline, discuss, fix",3,Joshua Bradshaw
-1,"provided, support, good, executive, customer",1,Latoya Blair
53,"helpful, person, good, gd, helpfulappreciating",1,Latoya Blair
0,"feck, halpcent, blacklist, responsible, services",3,Michael Stevens
4,"care, good, service, customer, experience",1,Michael Stevens
-1,"query, understand, polite, executive, customer",1,Dennis Miller
0,"assigned, delievery, yesterday, pending, bad",1,Dennis Miller
3,"pissed, ang, repaeting, causd, responded",1,Dennis Miller
-1,"sence, nonsense, zero, completely, frustrated",1,Andrea Hart
0,"means, management, focus, think, number",1,Andrea Hart
-1,"nightmare, ratings, ye, earned, low",1,Christopher Moore Jr.
1,"fkip, apriciate, bright, wish, future",1,Christopher Moore Jr.
0,"trained, response, poor, shopzilla, executive",1,Kayla Spears
0,"broo, quality, response, bad, product",1,Carmen Lyons
1,"polite, executive, helpful, good, nice",1,Carmen Lyons
-1,"talking, nice, talk, customer, support",1,Nicole Green
0,"dead, create, did, got, item",1,Nicole Green
5,"amazing, interaction, helpful, executive, service",1,Nicole Green
3,"appreciate, given, really, agent, help",1,Diana Terry
15,"useless, simple, support, company, executives",1,Diana Terry
29,"thank, person, nice, thanx, lovely",1,Diana Terry
39,"happy, behaviour, executive, care, customer",1,Diana Terry
-1,"nicebutthis, fired, type, try, wrong",1,Thomas Martin
21,"experience, understand, handle, say, doesnt",1,Thomas Martin
0,"unsatisfactory, helpless, post, seller, giving",1,Thomas Wiggins
18,"person, good, excellent, attend, best",1,Thomas Wiggins
0,"pincode, past, grocery, corrier, 584122",1,Melanie Anderson
14,"situations, lovely, handle, voice, difficult",1,Melanie Anderson
0,"created, simply, reason, tell, return",1,Jennifer Lewis
8,"automatic, user, direct, centre, required",1,Jennifer Lewis
30,"te, behaved, appreciable, brother, tried",1,Jennifer Lewis
-1,"redress, grievances, able, query, understand",1,Megan Bartlett
0,"prestige, spoiled, inhance, features, 17",3,Megan Bartlett
7,"person, good, muchh, thise, toking",1,Megan Bartlett
28,"fiadha, np, kr, koi, nhi",1,Megan Bartlett
49,"response, idea, did, want, poor",1,Megan Bartlett
1,"resolution, happy, executive, helpful, polite",1,Aaron Romero
3,"does, query, resolve, agent, agents",1,Aaron Romero
4,"care, good, customer, experience, services",1,Aaron Romero
0,"xxl, exchanged, ecommerce, size, product",4,Lawrence Phillips
0,"asics, size, got, chose, endfrom",1,Ruben Horton
-1,"politely, im, satisfied, resolved, problem",1,Michael Reilly
12,"service, good, customer, nice, helpful",1,Michael Reilly
-1,"smooth, officer, deal, solve, talk",1,Megan Hernandez
0,"persons, awasomeshopzilla, awasome, thnx, minute",1,Elizabeth Rose
-1,"updated, service, customer, talk, talking",1,Karen Williams
0,"short, fishy, importance, incident, track",1,Karen Williams
1,"workgod, bless, knowledge, proper, best",1,Karen Williams
5,"man, care, executive, good, customer",1,Karen Williams
10,"poor, service, customer, bad, provided",1,Karen Williams
21,"complaints, delayed, shopping, executives, experience",1,Karen Williams
-1,"himthanks, dear, satisfied, talk, nice",1,Shane Schwartz
0,"misleading, description, incorrect, action, sellers",2,Shane Schwartz
4,"care, good, customer, experience, services",1,Michele Davidson
9,"performance, nd, sir, resolve, thanks",1,Michele Davidson
-1,"executivefake, problemteam, qualitynot, serviceplease, spot",1,Wendy Church
0,"fraudsome, sellers, shopzilla, product, delivery",1,Wendy Church
7,"person, good, muchh, thise, toking",1,Wendy Church
13,"excellent, service, customer, awesome, amazing",1,Wendy Church
53,"gd, helpful, person, helpfulappreciating, qualified",1,Alexandra Reynolds
-1,"support, good, executive, customer, talk",1,Gregory Robinson
30,"rajat, confidently, jee, replay, regarding",1,Gregory Robinson
-1,"personsi, encourage, jeeves, centre, dont",1,Sarah Gutierrez
0,"teamwho, resolveso, issuesand, waited, immediate",1,Sarah Gutierrez
-1,"tongue, sadhuvaad, mother, gentleman, interact",1,Adam Hernandez
17,"thankyou, care, thanks, thank, customer",1,Adam Hernandez
24,"guy, hopeful, nagging, busy, definitely",1,Adam Hernandez
41,"support, executive, good, great, executiveproblem",1,Adam Hernandez
-1,"gald, nyc, handled, thanks, issue",1,David Butler
0,"receiptpls, heartotherwise, arrived, 2pm, 1pm",1,David Butler
1,"cooperative, experience, nice, executive, helpful",1,David Butler
4,"care, good, service, customer, experience",1,David Butler
16,"customers, talk, nice, support, talking",1,David Butler
38,"personbehavior, good, person, mindblowing, tolking",1,David Butler
-1,"representative, manner, talked, talk, talking",1,Kathleen Williams
32,"nice, person, helpful, thank, ",1,Kathleen Williams
51,"support, service, customer, good, ko",1,Kathleen Williams
0,"insane, escalations, technicians, arrange, technician",1,Russell Ramsey
5,"interacted, best, executive, care, customer",1,Russell Ramsey
0,"polite, happy, thank, shopzilla, care",1,William Gallagher
19,"explained, solved, problem, care, customer",1,William Gallagher
9,"mam, helped, solve, thanks, problem",1,William Munoz
14,"telephonically, thanx, nyc, dear, interaction",1,Matthew Alexander
31,"politely, query, understand, resolved, time",1,Casey Holmes
5,"thnku, responsive, dealing, executive, good",1,Stacey Stokes
-1,"talks, politely, im, behaviour, happy",1,Dana Smith
0,"irresponsible, sale, courier, agents, services",1,Dana Smith
0,"wasted, plastic, reluctantly, private, rejecting",2,Kenneth Ramos
2,"complete, end, conversation, did, solve",1,Kenneth Ramos
23,"given, wrong, information, service, customer",1,Kenneth Ramos
-1,"appreciable, effort, solve, issue, support",1,Mark Black
0,"overall, experience, thank, talking, nice",1,Mark Black
4,"care, good, service, customer, experience",1,Mark Black
7,"person, good, muchh, thise, toking",2,Mark Black
22,"honest, solved, problem, support, person",1,Mark Black
0,"dilevery, cost, parcel, different, sellers",4,Kristine Banks
3,"maybe, clear, thats, understood, policies",1,Kristine Banks
42,"talk, good, talking, sport, excutive",1,Robin Spencer
0,"suffering, fault, end, customers, sellers",1,Louis Herrera
-1,"understandable, keen, eas, kind, amd",1,Victoria Collins
0,"helples, comple, eassy, pl, possible",1,Victoria Collins
-1,"timeshe, job, doing, solved, problem",1,Kristina Gutierrez
0,"rejection, 12, false, hours, resolution",1,Kristina Gutierrez
1,"fully, hear, skill, resolving, sir",2,Kristina Gutierrez
16,"talk, nice, service, customer, talking",1,Kristina Gutierrez
17,"thanks, care, executive, customer, thank",1,Kristina Gutierrez
-1,"aqua, sms, didnu2019t, fresh, receive",1,Jacob Robertson Jr.
2,"cut, time, service, customer, disconnected",1,Jacob Robertson Jr.
4,"helping, care, good, customer, experience",1,Jacob Robertson Jr.
27,"talking, nice, costomer, easily, supporting",1,Jacob Robertson Jr.
1,"formal, uncomfortable, read, normal, bit",1,Jennifer Cruz
-1,"employee, wonderful, resolving, helped, day",2,Stephanie Simpson
1,"costumer, behavior, executive, good, helpful",1,John Barrett
2,"goal, evermy, firstsuch, thinghire, upone",1,John Barrett
3,"bad, agent, agents, knowledgeable, resolution",1,John Barrett
20,"service, good, customer, sapoot, maners",1,John Barrett
54,"behavior, agent, nice, communication, customer",1,John Barrett
-1,"mr, sir, nyc, boy, professional",2,Ryan Thompson
0,"activity, profit, effect, consuming, changed",1,Ryan Thompson
1,"aashish, love, appreciate, behaviour, just",1,Ryan Thompson
4,"care, good, service, customer, experience",1,Ryan Thompson
22,"manner, easy, talked, polite, resolved",1,Ryan Thompson
44,"ear, costomer, easy, knowledge, coustomer",1,Ryan Thompson
-1,"chatbot, directly, immediately, option, reach",3,Devon Daniel
0,"doorstep, recheck, save, packing, effort",1,Devon Daniel
8,"tak, gradually, turned, utterly, human",1,Devon Daniel
27,"talking, easily, nice, understand, costomer",1,Devon Daniel
51,"service, good, customer, ko, 5rating",1,Devon Daniel
-1,"reward, attended, felt, appreciate, happy",2,Nicole Hernandez
-1,"personality, quick, issues, satisfied, support",2,Jennifer Jones
0,"ineffecient, prpduct, serial, acceptedbeing, proscess",1,Jennifer Jones
43,"stifited, conversation, executive, good, talking",1,Jennifer Jones
0,"qualities, block, low, ensure, giving",1,Denise Rodriguez
-1,"veri, executiveshis, mam, understanding, resolve",2,Kristin Adams
0,"supercoin, add, deal, maximum, 1rs",1,Kristin Adams
17,"thanks, care, customer, thank, thanku",1,Kristin Adams
24,"clear, taking, really, soon, hope",1,Kristin Adams
6,"satisfy, okay, support, care, delivery",1,Pamela Mendoza
15,"team, support, executive, good, customer",1,Pamela Mendoza
21,"atrocious, use, executive, customer, experience",1,Pamela Mendoza
21,"extremely, experience, bad, care, executive",1,Grace Martin
-1,"coins, pincode, super, connect, use",2,Craig Henderson
0,"orderand, 700rs, concernbut, mehe, recive",1,Brian Wilson PhD
1,"provided, executive, service, good, helpful",1,Brian Wilson PhD
0,"helpfull, proffesional, shope, fully, behaviour",2,Gordon Jones
4,"maam, required, type, awesome, care",1,Gordon Jones
5,"space, effected, management, satisfaction, big",1,Gordon Jones
9,"anythingtoday, talked, yesterday, quite, promised",1,Gordon Jones
10,"decided, extend, attentiveness, pleasantly, problemsolving",1,Gordon Jones
27,"talking, nice, costomer, easily, supporting",1,Gordon Jones
-1,"smoothly, talk, talking, customer, support",1,Oscar Mcdowell
0,"listed, black, costomer, defective, sending",1,Michelle Christensen
14,"herand, quicklythank, totally, im, satisfied",1,Michelle Christensen
1,"officer, rude, coustomer, support, executive",1,Kelly Moore DDS
35,"pleasure, important, great, talk, thank",1,Kelly Moore DDS
37,"talking, nice, style, language, wass",1,Paul Ryan
-1,"department, talked, support, customer, talk",1,Logan Barnett
0,"cancelling, blaming, nonsense, order, agent",1,Logan Barnett
7,"person, good, muchh, thise, toking",1,Logan Barnett
18,"excellent, person, good, attend, best",1,Logan Barnett
52,"pethetic, excellent, service, care, customer",1,Logan Barnett
-1,"exceptional, thankyou, sanjayi, impressiveu, problemnd",2,Kristin King
-1,"support, good, executive, customer, talk",1,Jacob Mueller
-1,"sorry, continually, youve, termed, future",1,Patty Gutierrez
19,"resolving, issue, care, customer, solve",1,Patty Gutierrez
29,"lovely, person, nice, thanx, happing",2,Patty Gutierrez
0,"female, transaction, fli, blind, imposing",1,Tina Carroll
5,"phenomenal, manner, talked, helpful, executive",1,Tina Carroll
-1,"gentle, appreciate, great, really, solve",1,Daryl Martin
-1,"optimistic, dedication, 27, promote, experienced",3,Wendy Mitchell
1,"nice, executive, helpful, polite, good",1,Wendy Mitchell
50,"mam, happy, talking, thanks, nice",1,Michael Abbott
-1,"deals, mr, dedication, nyc, rating",2,Garrett Parker
1,"awesome, executive, helpful, polite, good",1,Garrett Parker
6,"best, support, care, service, customer",1,Garrett Parker
22,"ease, mr, understanding, solve, like",1,Garrett Parker
38,"person, good, mindblowing, tolking, thish",1,Garrett Parker
-1,"thank, talking, good, talk, customer",1,Justin Willis
0,"original, recheck, category, sister, accurate",4,Justin Willis
1,"person, executive, good, helpful, polite",1,Justin Willis
0,"names, remember, insured, supportivei, resolvedthanks",2,David Warren
1,"executivei, love, nice, executive, helpful",1,Jesse Miller
34,"solv, befave, best, talking, problem",1,Mary Esparza
-1,"doesnt, properly, information, talk, talking",1,Carol Reid
-1,"nice, support, person, customer, talk",1,Seth Williamson
0,"packing, gstin, incompetent, staff, grocery",2,Seth Williamson
5,"mature, caring, executive, care, customer",1,Seth Williamson
13,"fabulous, excellent, impressive, service, awesome",2,Seth Williamson
22,"satisfied, polite, thank, issue, support",1,Seth Williamson
35,"talk, nice, talking, pleasure, nexxt",1,Seth Williamson
44,"costomer, happy, agent, coustomer, care",1,Seth Williamson
-1,"sakshi, conversation, professional, day, im",1,Jennifer May
14,"proffesionally, listens, resolves, efficiently, ms",1,Jennifer May
52,"excellent, care, customer, pethetic, service",1,Jennifer May
-1,"great, fast, job, happy, talk",3,William Carey DVM
28,"achcha, kafi, excited, karke, mujhe",1,William Carey DVM
44,"coustomer, thank, care, costomer, executive",1,William Carey DVM
-1,"exicutive, thanku, im, helpful, person",2,Luke Schultz
0,"deliverybut, ab, deliveredi, shopzillayour, worry",2,Luke Schultz
3,"27, consent, resolution, immediate, aug",1,Luke Schultz
7,"person, good, muchh, thise, toking",1,Luke Schultz
24,"timei, effort, long, did, solved",1,April Hall
-1,"agree, talking, talk, customer, support",1,Steve Washington
0,"fault, policy, replaced, changed, let",1,Steve Washington
0,"courier, does, details, company, partner",1,Andrea Beck
9,"retain, loose, minute, resolved, problem",1,Andrea Beck
0,"resolvedthe, appalled, accountability, issuebut, utter",1,Charles Williamson
9,"proceed, azhar, named, allow, does",1,Charles Williamson
8,"busy, comfortable, pls, easy, contact",1,Whitney Wheeler
-1,"solving, problem, service, good, customer",1,Amber Brown
0,"adress, rhe, destination, diff, city",1,Amber Brown
0,"mistakenly, productthe, personplease, takingplease, unnecessarily",2,Claudia Massey
15,"tge, supportive, executive, support, customer",1,Claudia Massey
19,"company, bad, help, issue, care",1,Claudia Massey
22,"cousin, promoted, solved, problem, best",1,Claudia Massey
27,"talking, nice, costomer, easily, supporting",1,Claudia Massey
-1,"receive, minutes, solving, issue, good",1,Steven Moreno
0,"copies, sells, stop, supporting, fake",1,Steven Moreno
1,"questionsliked, disturbed, manners, spoken, asked",1,Steven Moreno
2,"behavier, castomer, types, cut, poor",1,Steven Moreno
-1,"helpfulsweet, nd, kind, thank, person",1,Shannon Hudson
0,"haave, peoples, trust, thankyou, costumer",1,Shannon Hudson
31,"intelligent, life, query, minutes, talked",1,Shannon Hudson
1,"mem, amazing, day, executive, helpful",1,Adam Henderson
2,"fault, callthey, methere, cut, listen",1,Adam Henderson
10,"slove, quickly, problem, service, bad",1,Adam Henderson
0,"stucked, stressed, timelywhy, teameverything, everyones",2,Kristi Schultz
1,"unnecessarilybut, okaythat, nicebut, apologized, quite",1,Kristi Schultz
-1,"seniors, options, consumer, views, complaint",1,Tanner Snyder
11,"satisfied, agent, service, happy, customer",1,Tanner Snyder
0,"executivemy, faivrot, centre, shopping, nice",1,Jamie Smith
1,"highly, communication, satisfied, support, executive",1,Jamie Smith
2,"anythingi, questioncall, senior, wanna, repeating",1,Jamie Smith
3,"run, excuse, away, trying, instead",1,Jamie Smith
18,"thanku, person, good, excellent, attend",1,Jamie Smith
24,"emi, later, pay, option, issue",1,Jamie Smith
26,"youyou, valuable, gave, nice, response",1,Jamie Smith
35,"prity, pleasant, talking, experience, nice",1,Jamie Smith
0,"2350, completed, rupees, attitude, mobile",1,Carl Douglas
41,"great, support, executive, executiveproblem, castomar",1,Carl Douglas
0,"accept, different, processed, 20k, sailor",2,Juan Moore
23,"scripted, ability, standard, answers, knowledge",1,Juan Moore
0,"tells, permissionand, deliveredthey, supportable, members",2,Michael Thomas
2,"escalate, ready, hour, multiple, senior",1,Sarah Murray
5,"work, executive, good, customer, care",1,Kathy Weber
39,"costomer, happy, support, executive, good",1,Joseph Bradley
-1,"communicated, message, resolution, solved, seller",1,Jessica Cook
0,"policy, issue, person, shopzilla, executive",1,Jessica Cook
9,"quick, resolved, problem, care, executive",1,Jessica Cook
38,"convincing, personhe, skill, person, good",1,Jessica Cook
12,"vary, helpful, service, customer, nice",1,Mary Vasquez
-1,"yes, provided, resolution, care, good",1,Kimberly Miller
0,"timeline, 48, laptop, 24, hours",1,Tony Jones
17,"thank, care, customer, thanks, thanku",1,Tony Jones
-1,"enjoyed, starts, maintain, problemthank, effectively",4,Ryan Jackson
-1,"yer, unable, excuses, month, resolve",1,Olivia Alvarez
25,"service, good, customer, hole, job",1,Olivia Alvarez
0,"responseand, gratitude, prompt, representative, gave",1,Jacqueline Meadows
1,"issuesand, manner, resolve, executive, good",1,Jacqueline Meadows
5,"care, executive, good, customer, helpful",1,Jacqueline Meadows
2,"abruptly, disconnected, got, care, executive",1,Nicole Gallagher
0,"personthank, avoid, fraud, communication, sellers",2,Norma Davis
7,"person, good, muchh, thise, toking",1,Norma Davis
25,"improve, service, good, customer, hole",1,Norma Davis
11,"happy, support, service, customer, satisfied",1,Colleen Hall
14,"communicator, goodshe, talkshe, special, explaining",1,Colleen Hall
-1,"resolve, happy, talk, issue, good",1,James Williams
0,"shit, responsible, orders, place, executives",1,James Williams
1,"professionalism, explained, talk, executive, good",1,James Williams
3,"second, amazing, query, agent, resolve",1,James Williams
25,"service, good, customer, hole, job",1,James Williams
43,"talking, nice, executive, customer, conversation",1,James Williams
-1,"effectively, authorities, higher, needs, doing",1,Michelle Cunningham
0,"challenged, brought, groceries, deliveries, checked",1,Michelle Cunningham
22,"sure, solve, polite, really, problem",1,Kelly Martin
-1,"frested, hardware, laking, breaking, tolt",2,Roy Lynch
14,"really, help, talking, nice, good",1,Roy Lynch
52,"excellent, care, service, customer, pethetic",1,Roy Lynch
0,"son, birthday, gift, ordered, ordersso",1,Angela Harris
6,"goodtalking, way, support, good, customer",1,Nancy Singh
24,"rest, simple, happened, guy, reaching",1,Nancy Singh
-1,"provided, support, care, customer, good",1,Ashley Yu
3,"converse, difficult, agents, great, agent",1,Ashley Yu
50,"happy, talking, person, good, mam",1,Ashley Yu
-1,"satisfied, talk, nice, care, executive",1,David Williamson
0,"displayed, does, check, item, seller",1,David Williamson
1,"remain, unaddressed, question, 20, supportive",1,David Williamson
13,"awesome, service, excellent, care, customer",1,David Williamson
-1,"faith, experienced, needs, right, behavior",1,Stephen Morris
-1,"proactive, immediantly, oriented, intelligent, talked",2,Maxwell Castillo
15,"professional, support, executive, customer, supportive",1,Maxwell Castillo
19,"maam, saport, query, thanks, care",1,Maxwell Castillo
46,"staff, supporting, bad, supportive, assisted",1,Maxwell Castillo
0,"mailed, registered, havent, copy, soft",1,Nicole Thomas
-1,"behavior, care, good, customer, talk",1,Donna Gilmore
25,"service, good, customer, hole, job",1,Donna Gilmore
0,"afifa, depend, totally, day, refund",1,Nathan Wilson
2,"thrid, hello, attempt, ability, responsive",1,Nathan Wilson
-1,"officer, support, good, executive, customer",1,Jessica Nixon
0,"thats, does, properly, seller, politely",2,Jessica Nixon
8,"unable, contact, care, customer, easy",1,Jessica Nixon
26,"talk, nice, love, resolutionthank, aarjavplease",1,Jessica Nixon
-1,"behaviour, good, executive, customer, talk",1,Dr. Heather Lewis
0,"sirpls, pleasure, costomer, solved, talking",1,Dr. Heather Lewis
1,"nice, person, executive, helpful, polite",1,Dr. Heather Lewis
4,"staaf, care, good, customer, experience",1,Dr. Heather Lewis
30,"understood, query, talk, person, nice",1,Dr. Heather Lewis
47,"nicely, talk, nice, good, ",1,Dr. Heather Lewis
-1,"supprt, fraudulent, life, helpfull, thing",2,Peter Lawrence
0,"commerce, guys, entire, humanity, career",3,Peter Lawrence
15,"soft, behavior, executives, support, good",1,Peter Lawrence
18,"person, good, excellent, attend, best",1,Peter Lawrence
48,"flib, blessing, dearthank, proud, fabulous",1,Peter Lawrence
1,"wait, answered, question, 12, waited",1,James Potter
16,"happt, careit, communicate, conversation, talk",1,Stephanie Ryan
0,"shipment, suffering, delivering, receiving, calling",1,Andrea Peterson
22,"simple, template, desire, plans, ruining",1,Andrea Peterson
-1,"disgustingworstnot, unmanned, problemand, way, solve",1,Jacqueline Glover
0,"speak, easily, got, issues, great",1,Jacqueline Glover
14,"interested, liked, addressed, way, solve",1,Jacqueline Glover
-1,"favour, ask, doing, end, solution",2,Edward Dalton
0,"explained, talked, thank, shopzilla, problem",1,Edward Dalton
0,"faultless, gone, use, lot, app",1,Robert Perez
-1,"quariesshe, know, information, dont, talk",1,Kathy Price
0,"satisfiaction, ack, shouldnt, compensation, theres",1,Kathy Price
2,"connectivity, clearly, hear, voice, improve",1,Virginia Collins
12,"nice, service, customer, good, helpful",1,Ronald King
-1,"talking, nice, talk, customer, support",1,Carla Anderson
5,"sporting, helpful, experience, talking, executive",1,Carla Anderson
-1,"goodbut, costomer, costumer, properly, solved",2,Robert Lewis
0,"big, brandinspite, carei, works, fine",1,Robert Lewis
4,"care, good, service, customer, experience",1,Robert Lewis
6,"support, care, good, person, customer",2,Robert Lewis
18,"person, good, excellent, attend, best",1,Robert Lewis
51,"ko, traf, hue, isliye, karaya",1,Robert Lewis
0,"exception, fulfill, ship, owner, atleast",1,Tyler Arroyo
1,"frndly, nd, behaviour, executive, good",1,Tyler Arroyo
-1,"thoroughly, explained, mam, interaction, satisfied",2,Mark Taylor
0,"blacklist, based, complaints, fraud, sellers",1,Mark Taylor
-1,"really, gently, understandble, blessedand, thank",2,Amy Vazquez
37,"talking, good, style, language, wass",1,Amy Vazquez
52,"excellent, care, service, customer, pethetic",1,Amy Vazquez
0,"incidences, defame, delivers, knows, incomplete",1,Christine Gray
1,"maintains, future, hope, quality, executive",1,Christine Gray
13,"aisee, ho, awesome, excellent, company",1,Christine Gray
-1,"wo, mam, able, query, understand",1,Abigail Gonzalez
0,"women, perfect, thank, shopzilla, care",1,Theresa Wilson
44,"coustmer, happy, agent, coustomer, costomer",1,Theresa Wilson
1,"good, executive, helpful, polite, nice",1,Katherine Walker
-1,"supportmind, blowing, star, 10, awesome",1,Joseph Gibson
11,"servicei, happy, satisfied, care, customer",1,Joseph Gibson
23,"direct, reaching, way, care, customer",1,Joseph Gibson
-1,"logistics, services, annoying, ua, dum",4,Brandon Leon
0,"pickup, worst, eed, msg, organization",2,Brandon Leon
2,"cut, resolve, issue, service, executive",1,Brandon Leon
49,"response, excellent, care, executive, customer",1,Brandon Leon
-1,"understandablethanks, humble, conversation, communication, great",1,Jessica Mcbride
31,"silent, gone, answered, query, responding",1,Jessica Mcbride
0,"town, delivery, days, radius, coordinating",3,Jose Pruitt
1,"quickly, resolving, understand, excellent, problem",1,Jose Pruitt
-1,"disppointed, sort, totally, issue, care",1,Rickey Herrera
-1,"experiance, robot, reading, associate, script",2,Lindsey Smith
0,"executivehappy, bbyeeeee, eye, patiencei, futureand",2,Lindsey Smith
1,"skill, behavior, person, executive, good",1,Lindsey Smith
3,"agent, nice, agents, knowledgeable, resolution",1,Lindsey Smith
9,"precise, quick, quickly, solved, thank",1,Lindsey Smith
-1,"result, till, work, provide, support",1,Diana Dudley
0,"ensure, ur, appreciate, lot, kind",1,Diana Dudley
3,"agents, information, dont, agent, knowledgeable",1,Diana Dudley
18,"person, good, excellent, attend, best",1,Diana Dudley
-1,"skill, communication, executives, service, good",1,Anita Harris
0,"bro, im, thanks, happy, talk",1,Anita Harris
1,"information, helpful, executive, polite, good",1,Anita Harris
13,"truly, excellent, amazing, service, awesome",1,Anita Harris
50,"tq, im, satisfied, talk, nice",1,Anita Harris
3,"plus, premium, membership, aware, running",1,Betty Schmidt
7,"person, good, muchh, thise, toking",1,Betty Schmidt
4,"experience, care, good, customer, services",1,Jenna Rivas
0,"customerworsr, reorder, fool, asking, making",1,Deanna Wright
3,"helpfulhighly, patience, appreciate, humble, agent",1,Deanna Wright
0,"help, didnt, offficer, u2019s, robbing",2,Adriana Adams
4,"services, care, good, customer, experience",2,Adriana Adams
43,"awesome, talking, executive, customer, conversation",1,Adriana Adams
-1,"unusual, historical, data, real, interested",1,Steven Wilson
0,"chek, declined, acknowledement, emailwhich, throu",2,Steven Wilson
4,"representative, quality, good, service, care",1,Steven Wilson
11,"calling, number, happy, satisfied, care",1,Steven Wilson
26,"talk, nice, love, resolutionthank, aarjavplease",1,Steven Wilson
-1,"servicesbut, doubt, fk, overall, address",1,Morgan Zavala
0,"recieving, strong, thanku, dont, different",2,Morgan Zavala
2,"turn, phasing, automaticly, sec, min",1,Morgan Zavala
41,"supporter, great, executive, support, executiveproblem",1,Morgan Zavala
-1,"job, appreciate, resolving, hope, work",1,Christopher Dean
1,"pro, blowing, ms, mind, handled",1,Christopher Dean
24,"onewe, ot, ok, question, directly",1,Christopher Dean
32,"nice, person, helpful, thank, ",1,Christopher Dean
53,"awesome, great, experience, person, helpful",1,Christopher Dean
0,"women, genuine, great, solve, thanks",1,Kimberly Bryan
1,"best, executive, helpful, polite, good",1,Kimberly Bryan
-1,"lady, nicely, resolved, talking, problem",1,Carolyn Norman
0,"itslef, knows, shes, automatically, canceled",1,Carolyn Norman
2,"reply, hold, didnt, executive, disconnected",1,Carolyn Norman
31,"query, solved, bad, care, customer",1,Carolyn Norman
47,"talk, good, nice, nicely, ",1,Carolyn Norman
0,"beginning, exhibits, bounced, limit, added",1,Jason Park
1,"good, executive, helpful, polite, nice",1,Jason Park
2,"trying, professional, end, knowledge, resolution",1,Jason Park
0,"denied, pick, rescheduled, automatically, thia",1,Michael Brady
27,"talking, nice, costomer, easily, supporting",1,Michael Brady
-1,"feeling, skill, appreciate, communication, im",2,Crystal Dunlap
0,"resolve, happy, problem, shopzilla, executive",1,Crystal Dunlap
44,"coustomer, agent, care, costomer, good",1,Crystal Dunlap
0,"improvement, connection, really, did, understand",1,Wendy Lang
14,"politely, resolved, thanks, talk, issue",1,Wendy Lang
47,"talk, good, nice, nicely, ",1,Wendy Lang
0,"penalize, attention, harass, little, pay",2,Stacey Lynch
5,"soft, spoken, response, good, executive",1,Stacey Lynch
27,"talking, nice, costomer, easily, supporting",1,Judy Gonzalez
-1,"resolutions, quick, giving, nice, person",1,Erin Meadows
0,"love, person, shopzilla, service, good",1,Erin Meadows
36,"talk, nice, comfortable, deal, feel",1,Erin Meadows
-1,"super, care, customer, talk, talking",1,Evelyn Petersen
-1,"charming, liked, voice, called, conversation",1,Lisa Singleton
24,"minimum, resolved, happy, issue, time",1,Lisa Singleton
0,"effectivelynext, switching, shopzillaagent, convinced, superbuythank",1,Stephanie Holmes
4,"consecration, care, good, customer, experience",1,Stephanie Holmes
22,"ahve, difficulty, supporter, nicely, like",1,Stephanie Holmes
8,"connect, easy, way, care, customer",1,Jerome Gray
18,"excellent, person, good, attend, best",1,Jerome Gray
34,"issues, solve, talking, good, problem",1,Jerome Gray
-1,"recognised, approach, quite, efforts, solving",1,Janet Jackson
38,"thish, cool, person, happy, good",1,Janet Jackson
0,"helpful, shopzilla, care, customer, product",1,Alexandra Davis
5,"best, executive, customer, care, helpful",1,Alexandra Davis
42,"talking, help, good, sport, talk",1,Alexandra Davis
-1,"dispute, cleaner, washing, machine, received",1,Darren Hoffman
0,"7th, mosquito, 21, heartbreaking, net",2,Darren Hoffman
-1,"stupid, service, customer, talk, talking",1,Cody Nielsen
-1,"properly, talk, care, customer, talking",1,William Hall
0,"overal, shruti, named, complain, raised",1,William Hall
1,"bhai, conveyed, advisorsthank, knowing, works",1,William Hall
4,"nice, care, customer, good, experience",1,William Hall
11,"guy, provided, happy, service, satisfied",1,William Hall
21,"policiesworst, terms, lady, know, dont",1,William Hall
2,"press, headset, wired, corrext, button",1,Michelle Larson
-1,"listen, lam, excustive, carethank, himi",2,Wendy Taylor
0,"airpod, fake, man, treat, curry",5,Wendy Taylor
